TIMESTAMP,ARIMA FORECAST
20131101 01:00,0.2647302397061378
20131101 02:00,0.16590760002906466
20131101 03:00,0.06655564627128668
20131101 04:00,0.06222771692533871
20131101 05:00,0.057546201285603504
20131101 06:00,0.09345658426775272
20131101 07:00,0.195272519279012
20131101 08:00,0.37002983351943497
20131101 09:00,0.21276839949579118
20131101 10:00,0.06698954279361066
20131101 11:00,0.01743655099543062
20131101 12:00,0.04593973780408385
20131101 13:00,0.04107407728997364
20131101 14:00,0.03734976053058082
20131101 15:00,0.06725635486180405
20131101 16:00,0.0392632523526359
20131101 17:00,0.02523234284322168
20131101 18:00,0.029477143640327223
20131101 19:00,0.02763700015849
20131101 20:00,0.02818981437214368
20131101 21:00,0.06682289841123568
20131101 22:00,0.30352473607106434
20131101 23:00,0.5174374553902864
20131102 00:00,0.49587033261618296
20131102 01:00,0.3260150345047175
20131102 02:00,0.3224438907490344
20131102 03:00,0.4697297859999222
20131102 04:00,0.3506301831529341
20131102 05:00,0.8285212250011554
20131102 06:00,0.6921349919889013
20131102 07:00,0.7347662566974398
20131102 08:00,0.5935108363707345
20131102 09:00,0.8307948296955359
20131102 10:00,0.7393291848323715
20131102 11:00,0.6116087649499155
20131102 12:00,0.5565707554124005
20131102 13:00,0.5302940604494195
20131102 14:00,0.31330615902911785
20131102 15:00,0.422257733664055
20131102 16:00,0.15071446222321144
20131102 17:00,0.5141983102704021
20131102 18:00,0.40522964208016415
20131102 19:00,0.5900715869668399
20131102 20:00,0.4059958549188548
20131102 21:00,0.43003431872503906
20131102 22:00,0.4721399569473643
20131102 23:00,0.12726693674667575
20131103 00:00,0.27696705750227935
20131103 01:00,0.23732231427905134
20131103 02:00,0.37252989017508914
20131103 03:00,0.21489617886635165
20131103 04:00,0.21219313735558062
20131103 05:00,0.3078406430085597
20131103 06:00,0.30905960247303627
20131103 07:00,0.3147027659618929
20131103 08:00,0.5113935974756172
20131103 09:00,0.5000230055600343
20131103 10:00,0.2517634804255608
20131103 11:00,0.27970209078339137
20131103 12:00,0.67241550454976
20131103 13:00,0.8207705123609713
20131103 14:00,0.8782759774774929
20131103 15:00,0.9133157178319298
20131103 16:00,0.9662306432701362
20131103 17:00,0.9437098896673841
20131103 18:00,0.9249945993449308
20131103 19:00,0.9132210016967955
20131103 20:00,0.9426731551237412
